time [ms],value [mm]
5010,0.15069018
5015,0.15069089
5020,0.15070614
5025,0.15083216
5030,0.15083045
5035,0.15071598
5040,0.15066822
5045,0.15078113
5050,0.15072781
5055,0.15071769
5060,0.15061462
5065,0.15070172
5070,0.15078241
5075,0.15073408
5080,0.15074663
5085,0.15069018
5090,0.15080308
5095,0.15073152
5100,0.15068904
5105,0.15076530
5110,0.15078312
5115,0.15074135
5120,0.15081035
5125,0.15078170
5130,0.15076117
5135,0.15075019
5140,0.15082846
5145,0.15080864
5150,0.15075575
5155,0.15069987
5160,0.15071655
5165,0.15083188
5170,0.15072952
5175,0.15071655
5180,0.15076074
5185,0.15071726
5190,0.15074620
5195,0.15077970
5200,0.15072382
5205,0.15065767
5210,0.15073508
5215,0.15073508
5220,0.15068562
5225,0.15070543
5230,0.15068433
5235,0.15072881
5240,0.15075048
5245,0.15074335
5250,0.15077086
5255,0.15073109
5260,0.15072681
5265,0.15065710
5270,0.15076602
5275,0.15077899
5280,0.15071598
5285,0.15068433
5290,0.15066295
5295,0.15070828
5300,0.15076858
5305,0.15076858
5310,0.15071926
5315,0.15067934
5320,0.15069688
5325,0.15069460
5330,0.15067649
5335,0.15075704
5340,0.15078113
5345,0.15071969
5350,0.15072710
5355,0.15062474
5360,0.15068205
5365,0.15071170
5370,0.15071455
5375,0.15070572
5380,0.15070686
5385,0.15070543
5390,0.15074349
5395,0.15069745
5400,0.15067806
5405,0.15060179
5410,0.15070643
5415,0.15065468
5420,0.15071170
5425,0.15067578
5430,0.15065739
5435,0.15064285
5440,0.15067877
5445,0.15077300
5450,0.15073366
5455,0.15063601
5460,0.15073537
5465,0.15065211
5470,0.15073865
5475,0.15067692
5480,0.15066238
5485,0.15072353
5490,0.15071498
5495,0.15073152
5500,0.15077386
5505,0.15065881
5510,0.15070771
5515,0.15076331
5520,0.15058369
5525,0.15069160
5530,0.15066338
5535,0.15074492
5540,0.15069232
5545,0.15074036
5550,0.15068305
5555,0.15078041
5560,0.15073237
5565,0.15068276
5570,0.15074307
5575,0.15074977
5580,0.15068733
5585,0.15074720
5590,0.15079880
5595,0.15069260
5600,0.15065668
5605,0.15074349
5610,0.15069189
5615,0.15065568
5620,0.15070201
5625,0.15074449
5630,0.15076003
5635,0.15070315
5640,0.15060407
5645,0.15071983
5650,0.15057713
5655,0.15075575
5660,0.15068077
5665,0.15071427
5670,0.15072639
5675,0.15077614
5680,0.15074549
5685,0.15065881
5690,0.15079681
5695,0.15062717
5700,0.15077899
5705,0.15072710
5710,0.15068048
5715,0.15073579
5720,0.15073152
5725,0.15063472
5730,0.15068248
5735,0.15063658
5740,0.15072453
5745,0.15071042
5750,0.15081106
5755,0.15073736
5760,0.15080750
5765,0.15070572
5770,0.15079353
5775,0.15069189
5780,0.15074036
5785,0.15061206
5790,0.15061733
5795,0.15074620
5800,0.15075746
5805,0.15072909
5810,0.15077314
5815,0.15079624
5820,0.15071897
5825,0.15075604
5830,0.15071498
5835,0.15074592
5840,0.15070472
5845,0.15067806
5850,0.15072553
5855,0.15070343
5860,0.15077443
5865,0.15068775
5870,0.15074620
5875,0.15076402
5880,0.15069060
5885,0.15067193
5890,0.15075447
5895,0.15070016
5900,0.15066751
5905,0.15074620
5910,0.15066238
5915,0.15081106
5920,0.15070643
5925,0.15066993
5930,0.15069289
5935,0.15080408
5940,0.15075518
5945,0.15064884
5950,0.15076987
5955,0.15076958
5960,0.15071099
5965,0.15065938
5970,0.15077899
5975,0.15083701
5980,0.15080508
5985,0.15077300
5990,0.15068148
5995,0.15066024
6000,0.15074349
6005,0.15072781
6010,0.15074720
6015,0.15077386
6020,0.15065938
6025,0.15068248
6030,0.15078441
6035,0.15074763
6040,0.15072810
6045,0.15082746
6050,0.15075076
6055,0.15071142
6060,0.15074264
6065,0.15072254
6070,0.15071455
6075,0.15070871
6080,0.15076787
6085,0.15070800
6090,0.15071726
6095,0.15075604
6100,0.15074520
6105,0.15069987
6110,0.15074492
6115,0.15076930
6120,0.15063857
6125,0.15065511
6130,0.15067906
6135,0.15063800
6140,0.15072781
6145,0.15076331
6150,0.15080579
6155,0.15081662
6160,0.15069160
6165,0.15076858
6170,0.15070315
6175,0.15072282
6180,0.15071555
6185,0.15068661
6190,0.15078270
6195,0.15069117
6200,0.15071170
6205,0.15071455
6210,0.15071769
6215,0.15068775
6220,0.15070928
6225,0.15068177
6230,0.15082675
6235,0.15075903
6240,0.15062717
6245,0.15072382
6250,0.15072353
6255,0.15071826
6260,0.15072282
6265,0.15080308
6270,0.15071897
6275,0.15073266
6280,0.15074064
6285,0.15073237
6290,0.15071655
6295,0.15077813
6300,0.15076958
6305,0.15074135
6310,0.15073936
6315,0.15085939
6320,0.15074691
6325,0.15066694
6330,0.15073679
6335,0.15075119
6340,0.15064456
6345,0.15073081
6350,0.15068661
6355,0.15070016
6360,0.15081106
6365,0.15077685
6370,0.15073537
6375,0.15072981
6380,0.15068205
6385,0.15070614
6390,0.15069260
6395,0.15070415
6400,0.15067692
6405,0.15069018
6410,0.15066395
6415,0.15076887
6420,0.15073708
6425,0.15074492
6430,0.15071299
6435,0.15069688
6440,0.15068504
6445,0.15070643
6450,0.15073152
6455,0.15074820
6460,0.15067977
6465,0.15157374
6470,0.15070686
6475,0.15074449
6480,0.15070158
6485,0.15066338
6490,0.15057513
6495,0.15059395
6500,0.15073765
6505,0.15073081
6510,0.15076046
6515,0.15071983
6520,0.15071555
6525,0.15069716
6530,0.15061833
6535,0.15072553
6540,0.15061320
6545,0.15060450
6550,0.15065083
6555,0.15076131
6560,0.15070115
6565,0.15078041
6570,0.15059395
6575,0.15068975
6580,0.15051455
6585,0.15057585
6590,0.15053066
6595,0.15037841
6600,0.15049758
6605,0.15046651
6610,0.15053935
6615,0.15049815
6620,0.15047549
6625,0.15050314
6630,0.15049359
6635,0.15036558
6640,0.15036230
6645,0.15031925
6650,0.15012737
6655,0.15009002
6660,0.15000463
6665,0.14991097
6670,0.14983684
6675,0.14973363
6680,0.14968716
6685,0.14966791
6690,0.14954374
6695,0.14949371
6700,0.14930225
6705,0.14938850
6710,0.14928486
6715,0.14925322
6720,0.14926177
6725,0.14917467
6730,0.14912691
6735,0.14901800
6740,0.14894031
6745,0.14884522
6750,0.14892890
6755,0.14887516
6760,0.14907687
6765,0.14898877
6770,0.14906476
6775,0.14908315
6780,0.14923882
6785,0.14930525
6790,0.14940946
6795,0.14960861
6800,0.14970341
6805,0.14985765
6810,0.14998795
6815,0.15010142
6820,0.15016101
6825,0.15029843
6830,0.15044455
6835,0.15060208
6840,0.15066623
6845,0.15080379
6850,0.15083116
6855,0.15090444
6860,0.15111713
6865,0.15121991
6870,0.15124928
6875,0.15140524
6880,0.15139098
6885,0.15148635
6890,0.15158414
6895,0.15164402
6900,0.15169206
6905,0.15171472
6910,0.15158144
6915,0.15156803
6920,0.15146212
6925,0.15145499
6930,0.15142648
6935,0.15136176
6940,0.15129575
6945,0.15122690
6950,0.15106282
6955,0.15104756
6960,0.15089531
6965,0.15092283
6970,0.15061990
6975,0.15061434
6980,0.15041718
6985,0.15025510
6990,0.15011953
6995,0.14996713
7000,0.14995274
7005,0.14978352
7010,0.14957012
7015,0.14942799
7020,0.14912292
7025,0.14899605
7030,0.14889925
7035,0.14889597
7040,0.14886304
7045,0.14875741
7050,0.14878635
7055,0.14877066
7060,0.14885748
7065,0.14884764
7070,0.14875855
7075,0.14893418
7080,0.14896012
7085,0.14889540
7090,0.14904794
7095,0.14901871
7100,0.14899077
7105,0.14925421
7110,0.14938651
7115,0.14935415
7120,0.14941473
7125,0.14943740
7130,0.14963199
7135,0.14976086
7140,0.14994090
7145,0.15007505
7150,0.15024056
7155,0.15018097
7160,0.15040806
7165,0.15056516
7170,0.15072125
7175,0.15078897
7180,0.15099952
7185,0.15107679
7190,0.15119069
7195,0.15142063
7200,0.15144601
7205,0.15147267
7210,0.15154936
7215,0.15168906
7220,0.15154936
7225,0.15156932
7230,0.15161622
7235,0.15157659
7240,0.15159298
7245,0.15141108
7250,0.15136803
7255,0.15139497
7260,0.15141008
7265,0.15126510
7270,0.15118926
7275,0.15113509
7280,0.15094535
7285,0.15096702
7290,0.15082560
7295,0.15074135
7300,0.15053536
7305,0.15053066
7310,0.15034947
7315,0.15018653
7320,0.15010370
7325,0.14991981
7330,0.14972892
7335,0.14952065
7340,0.14946277
7345,0.14924894
7350,0.14900232
7355,0.14887687
7360,0.14861727
7365,0.14870708
7370,0.14856938
7375,0.14864393
7380,0.14864892
7385,0.14868969
7390,0.14874814
7395,0.14892890
7400,0.14895014
7405,0.14896611
7410,0.14904138
7415,0.14918807
7420,0.14920517
7425,0.14950098
7430,0.14954403
7435,0.14966378
7440,0.14987348
7445,0.15006593
7450,0.15015602
7455,0.15034419
7460,0.15043201
7465,0.15063928
7470,0.15073679
7475,0.15090743
7480,0.15099268
7485,0.15119924
7490,0.15121991
7495,0.15143418
7500,0.15147423
7505,0.15151600
7510,0.15155848
7515,0.15163746
7520,0.15163019
7525,0.15163062
7530,0.15163432
7535,0.15164102
7540,0.15168422
7545,0.15152156
7550,0.15146368
7555,0.15146967
7560,0.15138385
7565,0.15131571
7570,0.15125755
7575,0.15113010
7580,0.15103288
7585,0.15088248
7590,0.15089104
7595,0.15072325
7600,0.15059124
7605,0.15058668
7610,0.15036629
7615,0.15022545
7620,0.15007505
7625,0.14999707
7630,0.14989942
7635,0.14976257
7640,0.14951751
7645,0.14933561
7650,0.14933462
7655,0.14930197
7660,0.14927987
7665,0.14918065
7670,0.14921900
7675,0.14941302
7680,0.14927332
7685,0.14934231
7690,0.14937082
7695,0.14952935
7700,0.14951880
7705,0.14959863
7710,0.14974004
7715,0.14983484
7720,0.14991097
7725,0.14996058
7730,0.15000962
7735,0.15019066
7740,0.15039352
7745,0.15032680
7750,0.15052880
7755,0.15064100
7760,0.15071698
7765,0.15092525
7770,0.15112925
7775,0.15113110
7780,0.15126967
7785,0.15145085
7790,0.15152783
7795,0.15160824
7800,0.15175421
7805,0.15179769
7810,0.15179014
7815,0.15177531
7820,0.15176348
7825,0.15166882
7830,0.15164573
7835,0.15157830
7840,0.15154280
7845,0.15146468
